Year,Province,Sector,Male,Female,Total
2009-10,Punjab,Public,118500,114200,232700
2009-10,Punjab,Private,32100,19800,51900
2009-10,Sindh,Public,67400,48100,115500
2009-10,Sindh,Private,21300,13400,34700
2009-10,KPK,Public,44800,14300,59100
2009-10,KPK,Private,9200,2100,11300
2009-10,Balochistan,Public,9100,4200,13300
2009-10,Balochistan,Private,1100,300,1400
2009-10, AJK,Public,205400,161200,366600
2009-10, AJK,Private,6200,3100,9300
2009-10,Punjab,Public,"118,500","114,200","232,700"
2009-10,Punjab,Private,"32,100","19,800","51,900"
2009-10,Sindh,Public,"67,400","48,100","115,500"
2009-10,Sindh,Private,"21,300","13,400","34,700"
2009-10,KPK,Public,"44,800","14,300","59,100"
2009-10,KPK,Private,"9,200","2,100","11,300"
2009-10,Balochistan,Public,"9,100","4,200","13,300"
2009-10,Balochistan,Private,"1,100",300,"1,400"
2009-10,ICT / Federal & AJK,Public,"205,400","161,200","366,600"
2009-10,ICT / Federal & AJK,Private,"6,200","3,100","9,300"
2010-11,Punjab,Public,"134,800","129,500","264,300"
2010-11,Punjab,Private,"36,400","22,100","58,500"
2010-11,Sindh,Public,"74,200","52,400","126,600"
2010-11,Sindh,Private,"23,800","14,900","38,700"
2010-11,KPK,Public,"51,300","16,800","68,100"
2010-11,KPK,Private,"10,800","2,400","13,200"
2010-11,Balochistan,Public,"9,800","4,600","14,400"
2010-11,Balochistan,Private,"1,300",400,"1,700"
2010-11,ICT / Federal & AJK,Public,"231,100","179,800","410,900"
2010-11,ICT / Federal & AJK,Private,"7,100","3,500","10,600"
2011-12,Punjab,Public,"152,400","146,800","299,200"
2011-12,Punjab,Private,"41,200","24,900","66,100"
2011-12,Sindh,Public,"81,900","57,600","139,500"
2011-12,Sindh,Private,"26,700","16,400","43,100"
2011-12,KPK,Public,"58,600","19,500","78,100"
2011-12,KPK,Private,"12,500","2,700","15,200"
2011-12,Balochistan,Public,"10,600","5,100","15,700"
2011-12,Balochistan,Private,"1,500",500,"2,000"
2011-12,ICT / Federal & AJK,Public,"258,300","201,200","459,500"
2011-12,ICT / Federal & AJK,Private,"8,000","3,900","11,900"
2012-13,Punjab,Public,"172,500","166,300","338,800"
2012-13,Punjab,Private,"46,600","28,200","74,800"
2012-13,Sindh,Public,"90,100","63,400","153,500"
2012-13,Sindh,Private,"29,800","18,300","48,100"
2012-13,KPK,Public,"66,300","22,400","88,700"
2012-13,KPK,Private,"14,200","3,100","17,300"
2012-13,Balochistan,Public,"11,600","5,600","17,200"
2012-13,Balochistan,Private,"1,700",600,"2,300"
2012-13,Federal,Public,"262,400","199,800","462,200"
2012-13,Federal,Private,"7,500","3,600","11,100"
2012-13,AJK,Public,"12,600","14,700","27,300"
2012-13,AJK,Private,"1,100",600,"1,700"
2013-14,Punjab,Public,"182,500","176,200","358,700"
2013-14,Punjab,Private,"49,200","29,800","79,000"
2013-14,Sindh,Public,"95,300","67,100","162,400"
2013-14,Sindh,Private,"31,500","19,400","50,900"
2013-14,KPK,Public,"70,100","23,700","93,800"
2013-14,KPK,Private,"15,000","3,300","18,300"
2013-14,Balochistan,Public,"12,300","5,900","18,200"
2013-14,Balochistan,Private,"1,800",600,"2,400"
2013-14,Federal,Public,"272,300","208,900","481,200"
2013-14,Federal,Private,"8,300","4,100","12,400"
2013-14,AJK,Public,"13,300","15,500","28,800"
2013-14,AJK,Private,"1,200",700,"1,900"
2021-22,AJK,Public,13191,14635,27826
2021-22,Balochistan,Private,1263,427,1690
2021-22,Balochistan,Public,32771,14602,47373
2021-22,Federal,Private,31212,21954,53166
2021-22,Federal,Public,481447,490951,972398
2021-22,Gilgit-Baltistan,Public,4639,4360,8999
2021-22,Khyber Pakhtunkhwa,Private,31636,8377,40013
2021-22,Khyber Pakhtunkhwa,Public,98138,38167,136305
2021-22,Punjab,Private,94694,70685,165379
2021-22,Punjab,Public,254576,266308,520884
2021-22,Sindh,Private,61822,33572,95394
2021-22,Sindh,Public,64879,109700,174579
2023-24,AJK,Private,891,1247,2138
2023-24,AJK,Public,12988,15344,28332
2023-24,Balochistan,Private,1551,726,2277
2023-24,Balochistan,Public,28080,12700,40780
2023-24,Federal,Private,35872,29033,64905
2023-24,Federal,Public,332212,294862,627074
2023-24,Gilgit-Baltistan,Public,4038,4211,8249
2023-24,Khyber Pakhtunkhwa,Private,28618,10654,39272
2023-24,Khyber Pakhtunkhwa,Public,101450,40590,142040
2023-24,Punjab,Private,102225,74919,177144
2023-24,Punjab,Public,248044,298524,546568
2023-24,Sindh,Private,63378,42254,105632
2023-24,Sindh,Public,106390,73346,179736
