Year,File_Name,Sheet_Name,Province,Sector,PhD_Male,PhD_Female,PhD_Total,Non_PhD_Male,Non_PhD_Female,Non_PhD_Total,Total_Faculty
2010-11,AnnualReport_2010-11_extracted.xlsx,Total Faculty in Pakistani HEIs,All,Private,0.0,0.0,1271.0,0.0,0.0,6970.0,8241.0
2010-11,AnnualReport_2010-11_extracted.xlsx,Total Faculty in Pakistani HEIs,Distance Lear ning,All,0.0,0.0,54.0,0.0,0.0,343.0,397.0
2011-12,AnnualReport_2011-12_extracted.xlsx,Faculty by Province,Sindh,All,0.0,0.0,1429.0,0.0,0.0,7529.0,8958.0
2011-12,AnnualReport_2011-12_extracted.xlsx,Faculty by Province,Federal,All,0.0,0.0,1467.0,0.0,0.0,5603.0,7070.0
2011-12,AnnualReport_2011-12_extracted.xlsx,Faculty by Province,KPK,All,0.0,0.0,955.0,0.0,0.0,3250.0,4205.0
2011-12,AnnualReport_2011-12_extracted.xlsx,Faculty by Province,Balochistan,All,0.0,0.0,92.0,0.0,0.0,1052.0,1144.0
2011-12,AnnualReport_2011-12_extracted.xlsx,Faculty by Province,AJK,All,0.0,0.0,97.0,0.0,0.0,528.0,625.0
2011-12,AnnualReport_2011-12_extracted.xlsx,Faculty by Province,Gilgit-Baltistan,All,0.0,0.0,26.0,0.0,0.0,130.0,156.0
2012-13,AnnualReport_2012-13_extracted.xlsx,Faculty by province,Sindh,All,0.0,0.0,1931.0,0.0,0.0,8648.0,10579.0
2012-13,AnnualReport_2012-13_extracted.xlsx,Faculty by province,Federal,All,0.0,0.0,2284.0,0.0,0.0,7590.0,9874.0
2012-13,AnnualReport_2012-13_extracted.xlsx,Faculty by province,KPK,All,0.0,0.0,1365.0,0.0,0.0,4104.0,5469.0
2012-13,AnnualReport_2012-13_extracted.xlsx,Faculty by province,Balochistan,All,0.0,0.0,149.0,0.0,0.0,1146.0,1295.0
2012-13,AnnualReport_2012-13_extracted.xlsx,Faculty by province,AJK,All,0.0,0.0,152.0,0.0,0.0,868.0,1020.0
2013-14,AnnualReport_2013-14_extracted.xlsx,Faculty by Province,Punjab,All,0.0,0.0,3434.0,0.0,0.0,8017.0,11451.0
2013-14,AnnualReport_2013-14_extracted.xlsx,Faculty by Province,Sindh,All,0.0,0.0,1568.0,0.0,0.0,6356.0,7924.0
2013-14,AnnualReport_2013-14_extracted.xlsx,Faculty by Province,Federal,All,0.0,0.0,2360.0,0.0,0.0,5134.0,7494.0
2013-14,AnnualReport_2013-14_extracted.xlsx,Faculty by Province,Azad Jammu and Kashmir,All,0.0,0.0,178.0,0.0,0.0,765.0,943.0
2013-14,AnnualReport_2013-14_extracted.xlsx,Faculty by Province,All,Distance Learning,0.0,0.0,80.0,0.0,0.0,337.0,417.0
2019-20,AnnualReport_2019-20_extracted.xlsx,"Full Time Faculty (Region, In",AJ&K,All,0.0,0.0,32.0,0.0,0.0,3.0,112.0
2019-20,AnnualReport_2019-20_extracted.xlsx,"Full Time Faculty (Region, In",Baluchistan,All,0.0,0.0,25.0,0.0,0.0,2.0,38.0
2019-20,AnnualReport_2019-20_extracted.xlsx,"Full Time Faculty (Region, In",Federal,All,0.0,0.0,382.0,0.0,0.0,78.0,953.0
2019-20,AnnualReport_2019-20_extracted.xlsx,"Full Time Faculty (Region, In",Gilgit Baltistan,All,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-20,AnnualReport_2019-20_extracted.xlsx,"Full Time Faculty (Region, In",Khyber Pakhtunkhwa,All,0.0,0.0,490.0,0.0,0.0,50.0,1087.0
2019-20,AnnualReport_2019-20_extracted.xlsx,"Full Time Faculty (Region, In",Punjab,All,0.0,0.0,1210.0,0.0,0.0,421.0,2731.0
2019-20,AnnualReport_2019-20_extracted.xlsx,"Full Time Faculty (Region, In",Sindh,All,0.0,0.0,653.0,0.0,0.0,288.0,2645.0
2021-22,AnnualReport_2021-22_extracted.xlsx, Faculty (Public and Private) H,"Faculty (Public and Private) HEIs, Region and Qualification-wise 2020-21",All,0.0,0.0,,0.0,0.0,,
2021-22,AnnualReport_2021-22_extracted.xlsx, Faculty (Public and Private) H,Province,All,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-22,AnnualReport_2021-22_extracted.xlsx, Faculty (Public and Private) H,AJ&K,Private,36.0,3.0,39.0,126.0,90.0,216.0,255.0
2021-22,AnnualReport_2021-22_extracted.xlsx, Faculty (Public and Private) H,AJ&K,Public,276.0,67.0,343.0,426.0,320.0,746.0,1089.0
2021-22,AnnualReport_2021-22_extracted.xlsx, Faculty (Public and Private) H,Balochistan,Private,34.0,7.0,41.0,41.0,20.0,61.0,102.0
